SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE PER BED,PRICE PER SQUARE FOOT
MLS Listing,,Multi-Family (2-4 Unit),17-19 Gage St,Beverly,MA,1915,499900.0,6,3.0,Beverly,2802,6650.0,1900.0,12,178.0,,Active,,,http://www.redfin.com/MA/Beverly/19-Gage-St-01915/home/11284991,MLS PIN,72210682,N,Y,42.557085,-70.88391750000001,2999400.0,1400719800.0
MLS Listing,,Multi-Family (2-4 Unit),101 Evans St,Boston,MA,2124,499900.0,6,3.0,Dorchester,3221,3049.0,1910.0,5,155.0,,Active,,,http://www.redfin.com/MA/Boston/101-Evans-St-02124/home/9084758,MLS PIN,72214167,Y,Y,42.2821109,-71.0821843,2999400.0,1610177900.0
MLS Listing,,Multi-Family (2-4 Unit),118 Elm St,Everett,MA,2149,599000.0,5,2.0,Everett,2154,3350.0,1900.0,3,278.0,,Active,August-21-2017 05:00 PM,August-21-2017 07:00 PM,http://www.redfin.com/MA/Everett/118-Elm-St-02149/home/8530760,MLS PIN,72215618,N,Y,42.41347329999999,-71.042117,2995000.0,1290246000.0
MLS Listing,,Multi-Family (2-4 Unit),52 Humphreys St,Boston,MA,2125,599000.0,5,3.0,Dorchester,3827,4137.0,1900.0,9,157.0,,Active,,,http://www.redfin.com/MA/Boston/52-Humphreys-St-02125/home/11833872,MLS PIN,72212614,N,Y,42.318774299999994,-71.0672515,2995000.0,2292373000.0
MLS Listing,,Multi-Family (2-4 Unit),19-21 Washburn,Weymouth,MA,2188,499000.0,6,2.5,Jackson Square,2854,9147.0,1868.0,4,175.0,,Active,,,http://www.redfin.com/MA/Weymouth/21-Washburn-St-02189/home/11519353,MLS PIN,72214765,N,Y,42.214278799999995,-70.92659029999999,2994000.0,1424146000.0
MLS Listing,,Multi-Family (2-4 Unit),43 Rossetter St,Boston,MA,2124,499000.0,6,2.5,Boston,2236,3736.0,1905.0,53,223.0,,Active,,,http://www.redfin.com/MA/Boston/43-Rosseter-St-02121/home/9074980,MLS PIN,72190562,N,Y,42.303861,-71.0754864,2994000.0,1115764000.0
MLS Listing,,Multi-Family (2-4 Unit),23 Holbrook Ave,Brockton,MA,2301,489900.0,6,3.0,Brockton,3000,7405.0,1872.0,61,163.0,,Active,,,http://www.redfin.com/MA/Brockton/23-Holbrook-Ave-02301/home/16322328,MLS PIN,72184956,N,Y,42.1007353,-71.02337800000001,2939400.0,1469700000.0
MLS Listing,,Multi-Family (2-4 Unit),27 Whitney Ave,Beverly,MA,1915,489000.0,6,2.0,Beverly,2600,4829.0,1910.0,6,188.0,,Active,,,http://www.redfin.com/MA/Beverly/27-Whitney-Ave-01915/home/8212053,MLS PIN,72213680,N,Y,42.557713299999996,-70.8758213,2934000.0,1271400000.0
MLS Listing,,Multi-Family (2-4 Unit),84-86 Park Ave,Whitman,MA,2382,579900.0,5,3.0,Whitman,3038,14340.0,1900.0,59,191.0,,Active,,,http://www.redfin.com/MA/Whitman/86-Park-Ave-02382/home/130148815,MLS PIN,72188186,N,Y,42.0836754,-70.9351777,2899500.0,1761736200.0
MLS Listing,,Multi-Family (2-4 Unit),12 Mall St,Salem,MA,1970,479999.0,6,4.0,Salem,2821,4104.0,1800.0,29,170.0,,Active,August-21-2017 01:00 PM,August-21-2017 02:00 PM,http://www.redfin.com/MA/Salem/12-Mall-St-01970/home/8397317,MLS PIN,72202202,N,Y,42.525311200000004,-70.89127359999999,2879994.0,1354077179.0
MLS Listing,,Multi-Family (2-4 Unit),549-551 Broad St,Weymouth,MA,2189,479900.0,6,2.5,East Weymouth,2160,5793.0,1868.0,69,222.0,,Active,,,http://www.redfin.com/MA/Weymouth/551-Broad-St-02189/home/120734106,MLS PIN,72180806,N,Y,42.217572100000005,-70.9372551,2879400.0,1036584000.0
