SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),111-115 East St,North Attleboro,MA,02760,1049000,9,8.0,North Attleboro,5297,14394,1910,4,198,,Active,,,http://www.redfin.com/MA/North-Attleborough/115-East-St-02760/home/108300850,MLS PIN,72214658,N,Y,41.983946,-71.3305575
MLS Listing,,Multi-Family (2-4 Unit),29 Oxford St,Somerville,MA,02143,1600000,8,3.0,Somerville,3946,4560,1900,4,405,,Active,,,http://www.redfin.com/MA/Somerville/29-Oxford-St-02143/home/8717338,MLS PIN,72214483,N,Y,42.386791,-71.1003826
MLS Listing,,Multi-Family (2-4 Unit),188 Pearl Ave,Revere,MA,02151,270000,6,3.0,Revere,1687,10060,1959,4,160,,Active,,,http://www.redfin.com/MA/Revere/188-Pearl-Ave-02151/home/9004286,MLS PIN,72214459,N,Y,42.3938868,-70.9883958
MLS Listing,,Multi-Family (2-4 Unit),86 Cherry St,Swampscott,MA,01907,419000,4,2.0,Swampscott,2381,10149,1907,4,176,,Active,,,http://www.redfin.com/MA/Swampscott/86-Cherry-St-01907/home/11351859,MLS PIN,72214442,N,Y,42.4759026,-70.9235865
MLS Listing,,Multi-Family (2-4 Unit),24 Richmond St,Brockton,MA,02301,449900,9,3.0,Brockton,3942,6403,1908,4,114,,Active,,,http://www.redfin.com/MA/Brockton/24-Richmond-St-02301/home/16322495,MLS PIN,72214335,N,Y,42.0965909,-71.0229426
MLS Listing,,Multi-Family (2-4 Unit),14 Page St,Danvers,MA,01923,450000,4,2.0,Danvers,2327,3528,1905,4,193,,Active,,,http://www.redfin.com/MA/Danvers/14-Page-St-01923/home/11293304,MLS PIN,72214321,N,Y,42.5656729,-70.937509
MLS Listing,,Multi-Family (2-4 Unit),68 Converse Ave,Malden,MA,02148,675000,5,2.0,Bell Rock,2788,8592,1900,4,242,,Active,,,http://www.redfin.com/MA/Malden/68-Converse-Ave-02148/home/11392215,MLS PIN,72214293,N,Y,42.4166879,-71.0686409
MLS Listing,,Multi-Family (2-4 Unit),30 Clifton St,Cambridge,MA,02140,1190000,4,2.0,North Cambridge,2361,6000,1844,4,504,,Active,,,http://www.redfin.com/MA/Cambridge/30-Clifton-St-02140/home/11594287,MLS PIN,72214278,N,Y,42.3944965,-71.1364619
MLS Listing,,Multi-Family (2-4 Unit),230 Brookline St,Cambridge,MA,02139,1499900,6,3.5,Cambridgeport,3435,2615,1905,5,437,,Active,August-21-2017 06:00 PM,August-21-2017 08:00 PM,http://www.redfin.com/MA/Cambridge/230-Brookline-St-02139/home/11559655,MLS PIN,72214256,N,Y,42.3583137,-71.1068041
MLS Listing,,Multi-Family (2-4 Unit),326 Central,Foxboro,MA,02035,465000,4,2.0,East Foxboro,2240,60473,1900,5,208,,Active,,,http://www.redfin.com/MA/Foxborough/326-Central-St-02035/home/11715741,MLS PIN,72214237,N,Y,42.0423903,-71.2335836
MLS Listing,,Multi-Family (2-4 Unit),44 West St,Brockton,MA,02301,399900,5,3.0,Brockton,2134,9801,1916,5,187,,Active,,,http://www.redfin.com/MA/Brockton/44-West-St-02301/home/16329437,MLS PIN,72214199,N,Y,42.0872908,-71.0458258
MLS Listing,,Multi-Family (2-4 Unit),193 Broad St,North Attleboro,MA,02760,475000,5,3.0,North Attleboro,2382,5039,1900,5,199,,Active,,,http://www.redfin.com/MA/North-Attleborough/193-Broad-St-02760/home/16059095,MLS PIN,72214183,N,Y,41.9909615,-71.3321248
MLS Listing,,Multi-Family (2-4 Unit),101 Evans St,Boston,MA,02124,499900,6,3.0,Dorchester,3221,3049,1910,5,155,,Active,,,http://www.redfin.com/MA/Boston/101-Evans-St-02124/home/9084758,MLS PIN,72214167,Y,Y,42.2821109,-71.0821843
